,FKL05,FKL06,0
160,ACEH,GARUT,0
161,ACEH,TASIKMALAYA,0
162,ACEH,CIAMIS,0
163,ACEH,KUNINGAN,0
164,ACEH,CIREBON,0
165,ACEH,MAJALENGKA,0
166,ACEH,SUMEDANG,0
167,ACEH,INDRAMAYU,0
168,ACEH,SUBANG,0
169,ACEH,PURWAKARTA,0
170,ACEH,KARAWANG,0
171,ACEH,BEKASI,0
172,ACEH,BANDUNG BARAT,0
173,ACEH,PANGANDARAN,0
174,ACEH,KOTA BOGOR,0
175,ACEH,KOTA SUKABUMI,0
176,ACEH,KOTA BANDUNG,0
177,ACEH,KOTA CIREBON,0
178,ACEH,KOTA BEKASI,0
179,ACEH,KOTA DEPOK,0
180,ACEH,KOTA CIMAHI,0
181,ACEH,KOTA TASIKMALAYA,0
182,ACEH,KOTA BANJAR,0
183,ACEH,CILACAP,0
184,ACEH,BANYUMAS,0
185,ACEH,PURBALINGGA,0
186,ACEH,BANJARNEGARA,0
187,ACEH,KEBUMEN,0
188,ACEH,PURWOREJO,0
189,ACEH,WONOSOBO,0
190,ACEH,MAGELANG,0
191,ACEH,BOYOLALI,0
192,ACEH,KLATEN,0
193,ACEH,SUKOHARJO,0
194,ACEH,WONOGIRI,0
195,ACEH,KARANGANYAR,0
196,ACEH,SRAGEN,0
197,ACEH,GROBOGAN,0
198,ACEH,BLORA,0
199,ACEH,REMBANG,0
200,ACEH,PATI,0
201,ACEH,KUDUS,0
202,ACEH,JEPARA,0
203,ACEH,DEMAK,0
204,ACEH,SEMARANG,0
205,ACEH,TEMANGGUNG,0
206,ACEH,KENDAL,0
207,ACEH,BATANG,0
208,ACEH,PEKALONGAN,0
209,ACEH,PEMALANG,0
210,ACEH,TEGAL,0
211,ACEH,BREBES,0
212,ACEH,KOTA MAGELANG,0
213,ACEH,KOTA SURAKARTA,0
214,ACEH,KOTA SALATIGA,0
215,ACEH,KOTA SEMARANG,0
216,ACEH,KOTA PEKALONGAN,0
217,ACEH,KOTA TEGAL,0
218,ACEH,KULON PROGO,0
219,ACEH,BANTUL,0
220,ACEH,GUNUNG KIDUL,0
221,ACEH,SLEMAN,0
222,ACEH,KOTA YOGYAKARTA,0
223,ACEH,PACITAN,0
224,ACEH,PONOROGO,0
225,ACEH,TRENGGALEK,0
226,ACEH,TULUNGAGUNG,0
227,ACEH,BLITAR,0
228,ACEH,KEDIRI,0
229,ACEH,MALANG,0
230,ACEH,LUMAJANG,0
231,ACEH,JEMBER,0
232,ACEH,BANYUWANGI,0
233,ACEH,BONDOWOSO,0
234,ACEH,SITUBONDO,0
235,ACEH,PROBOLINGGO,0
236,ACEH,PASURUAN,0
237,ACEH,SIDOARJO,0
238,ACEH,MOJOKERTO,0
239,ACEH,JOMBANG,0
240,ACEH,NGANJUK,0
241,ACEH,MADIUN,0
242,ACEH,MAGETAN,0
243,ACEH,NGAWI,0
244,ACEH,BOJONEGORO,0
245,ACEH,TUBAN,0
246,ACEH,LAMONGAN,0
247,ACEH,GRESIK,0
248,ACEH,BANGKALAN,0
249,ACEH,SAMPANG,0
250,ACEH,PAMEKASAN,0
251,ACEH,SUMENEP,0
252,ACEH,KOTA KEDIRI,0
253,ACEH,KOTA BLITAR,0
254,ACEH,KOTA MALANG,0
255,ACEH,KOTA PROBOLINGGO,0
256,ACEH,KOTA PASURUAN,0
257,ACEH,KOTA MOJOKERTO,0
258,ACEH,KOTA MADIUN,0
259,ACEH,KOTA SURABAYA,0
260,ACEH,KOTA BATU,0
261,ACEH,PANDEGLANG,0
262,ACEH,LEBAK,0
263,ACEH,TANGERANG,0
264,ACEH,SERANG,0
265,ACEH,KOTA TANGERANG,0
266,ACEH,KOTA CILEGON,0
267,ACEH,KOTA SERANG,0
268,ACEH,KOTA TANGERANG SELATAN,0
269,ACEH,JEMBRANA,0
270,ACEH,TABANAN,0
271,ACEH,BADUNG,0
272,ACEH,GIANYAR,0
273,ACEH,KLUNGKUNG,0
274,ACEH,BANGLI,0
275,ACEH,KARANG ASEM,0
276,ACEH,BULELENG,0
277,ACEH,KOTA DENPASAR,0
278,ACEH,LOMBOK BARAT,0
279,ACEH,LOMBOK TENGAH,0
280,ACEH,LOMBOK TIMUR,0
281,ACEH,SUMBAWA,0
282,ACEH,DOMPU,0
283,ACEH,BIMA,0
284,ACEH,SUMBAWA BARAT,0
285,ACEH,LOMBOK UTARA,0
286,ACEH,KOTA MATARAM,0
287,ACEH,KOTA BIMA,0
288,ACEH,SUMBA BARAT,0
289,ACEH,SUMBA TIMUR,0
290,ACEH,KUPANG,0
291,ACEH,TIMOR TENGAH SELATAN,0
292,ACEH,TIMOR TENGAH UTARA,0
293,ACEH,BELU,0
294,ACEH,ALOR,0
295,ACEH,LEMBATA,0
296,ACEH,FLORES TIMUR,0
297,ACEH,SIKKA,0
298,ACEH,ENDE,0
299,ACEH,NGADA,0
300,ACEH,MANGGARAI,0
301,ACEH,ROTE NDAO,0
302,ACEH,MANGGARAI BARAT,0
303,ACEH,SUMBA TENGAH,0
304,ACEH,SUMBA BARAT DAYA,0
305,ACEH,NAGEKEO,0
306,ACEH,SABU RAIJUA,0
307,ACEH,MALAKA,0
308,ACEH,KOTA KUPANG,0
309,ACEH,SAMBAS,0
310,ACEH,BENGKAYANG,0
311,ACEH,LANDAK,0
312,ACEH,MEMPAWAH,0
313,ACEH,SANGGAU,0
314,ACEH,KETAPANG,0
315,ACEH,SINTANG,0
316,ACEH,KAPUAS HULU,0
317,ACEH,SEKADAU,0
318,ACEH,MELAWI,0
319,ACEH,KAYONG UTARA,0
320,ACEH,KUBU RAYA,0
321,ACEH,KOTA PONTIANAK,0
322,ACEH,KOTA SINGKAWANG,0
323,ACEH,KOTAWARINGIN BARAT,0
324,ACEH,KOTAWARINGIN TIMUR,0
325,ACEH,KAPUAS,0
326,ACEH,BARITO SELATAN,0
327,ACEH,BARITO UTARA,0
328,ACEH,SUKAMARA,0
329,ACEH,LAMANDAU,0
330,ACEH,SERUYAN,0
331,ACEH,KATINGAN,0
332,ACEH,PULANG PISAU,0
333,ACEH,GUNUNG MAS,0
334,ACEH,BARITO TIMUR,0
335,ACEH,MURUNG RAYA,0
336,ACEH,KOTA PALANGKA RAYA,0
337,ACEH,TANAH LAUT,0
338,ACEH,KOTA BARU,0
339,ACEH,BANJAR,0
340,ACEH,BARITO KUALA,0
341,ACEH,TAPIN,0
342,ACEH,HULU SUNGAI SELATAN,0
343,ACEH,HULU SUNGAI TENGAH,0
344,ACEH,HULU SUNGAI UTARA,0
345,ACEH,TABALONG,0
346,ACEH,TANAH BUMBU,0
347,ACEH,BALANGAN,0
348,ACEH,KOTA BANJARMASIN,0
349,ACEH,KOTA BANJAR BARU,0
350,ACEH,PASER,0
351,ACEH,KUTAI BARAT,0
352,ACEH,KUTAI KARTANEGARA,0
353,ACEH,KUTAI TIMUR,0
354,ACEH,BERAU,0
355,ACEH,PENAJAM PASER UTARA,0
356,ACEH,KOTA BALIKPAPAN,0
357,ACEH,KOTA SAMARINDA,0
358,ACEH,KOTA BONTANG,0
359,ACEH,MALINAU,0
360,ACEH,BULUNGAN,0
361,ACEH,NUNUKAN,0
362,ACEH,KOTA TARAKAN,0
363,ACEH,BOLAANG MONGONDOW,0
364,ACEH,MINAHASA,0
365,ACEH,KEPULAUAN SANGIHE,0
366,ACEH,KEPULAUAN TALAUD,0
367,ACEH,MINAHASA SELATAN,0
368,ACEH,MINAHASA UTARA,0
369,ACEH,BOLAANG MONGONDOW UTARA,0
370,ACEH,SIAU TAGULANDANG BIAR,0
371,ACEH,MINAHASA TENGGARA,0
372,ACEH,BOLAANG MONGONDOW SELATAN,0
373,ACEH,KOTA MANADO,0
374,ACEH,KOTA BITUNG,0
375,ACEH,KOTA TOMOHON,0
376,ACEH,KOTA KOTAMOBAGU,0
377,ACEH,BANGGAI KEPULAUAN,0
378,ACEH,BANGGAI,0
379,ACEH,MOROWALI,0
380,ACEH,POSO,0
381,ACEH,DONGGALA,0
382,ACEH,TOLI-TOLI,0
383,ACEH,BUOL,0
384,ACEH,PARIGI MOUTONG,0
385,ACEH,TOJO UNA-UNA,0
386,ACEH,SIGI,0
387,ACEH,BANGGAI LAUT,0
388,ACEH,MOROWALI UTARA,0
389,ACEH,KOTA PALU,0
390,ACEH,KEPULAUAN SELAYAR,0
391,ACEH,BULUKUMBA,0
392,ACEH,BANTAENG,0
393,ACEH,JENEPONTO,0
394,ACEH,TAKALAR,0
395,ACEH,GOWA,0
396,ACEH,SINJAI,0
397,ACEH,MAROS,0
398,ACEH,PANGKAJENE KEPULAUAN,0
399,ACEH,BARRU,0
400,ACEH,BONE,0
401,ACEH,SOPPENG,0
402,ACEH,WAJO,0
403,ACEH,SIDENRENG RAPPANG,0
404,ACEH,PINRANG,0
405,ACEH,ENREKANG,0
406,ACEH,LUWU,0
407,ACEH,TANA TORAJA,0
408,ACEH,LUWU UTARA,0
409,ACEH,LUWU TIMUR,0
410,ACEH,TORAJA UTARA,0
411,ACEH,KOTA MAKASSAR,0
412,ACEH,KOTA PAREPARE,0
413,ACEH,KOTA PALOPO,0
414,ACEH,BUTON,0
415,ACEH,MUNA,0
416,ACEH,KONAWE,0
417,ACEH,Kolaka,0
418,ACEH,KONAWE SELATAN,0
419,ACEH,BOMBANA,0
420,ACEH,WAKATOBI,0
421,ACEH,KOLAKA UTARA,0
422,ACEH,BUTON UTARA,0
423,ACEH,KONAWE UTARA,0
424,ACEH,KOLAKA TIMUR,0
425,ACEH,MUNA BARAT,0
426,ACEH,BUTON TENGAH,0
427,ACEH,BUTON SELATAN,0
428,ACEH,KOTA KENDARI,0
429,ACEH,KOTA BAUBAU,0
430,ACEH,BOALEMO,0
431,ACEH,GORONTALO,0
432,ACEH,POHUWATO,0
433,ACEH,BONE BOLANGO,0
434,ACEH,GORONTALO UTARA,0
435,ACEH,KOTA GORONTALO,0
436,ACEH,MAJENE,0
437,ACEH,POLEWALI MANDAR,0
438,ACEH,MAMASA,0
439,ACEH,MAMUJU,0
440,ACEH,MAMUJU UTARA,0
441,ACEH,MAMUJU TENGAH,0
442,ACEH,MALUKU TENGGARA BARAT,0
443,ACEH,MALUKU TENGGARA,0
444,ACEH,MALUKU TENGAH,0
445,ACEH,BURU,0
446,ACEH,KEPULAUAN ARU,0
447,ACEH,SERAM BAGIAN BARAT,0
448,ACEH,SERAM BAGIAN TIMUR,0
449,ACEH,MALUKU BARAT DAYA,0
450,ACEH,BURU SELATAN,0
451,ACEH,KOTA AMBON,0
452,ACEH,KOTA TUAL,0
453,ACEH,HALMAHERA BARAT,0
454,ACEH,HALMAHERA TENGAH,0
455,ACEH,KEPULAUAN SULA,0
456,ACEH,HALMAHERA SELATAN,0
457,ACEH,HALMAHERA UTARA,0
458,ACEH,HALMAHERA TIMUR,0
459,ACEH,PULAU MOROTAI,0
460,ACEH,KOTA TERNATE,0
461,ACEH,KOTA TIDORE KEPULAUAN,0
462,ACEH,FAKFAK,0
463,ACEH,KAIMANA,0
464,ACEH,TELUK WONDAMA,0
465,ACEH,TELUK BINTUNI,0
466,ACEH,MANOKWARI,0
467,ACEH,SORONG SELATAN,0
468,ACEH,SORONG,0
469,ACEH,RAJA AMPAT,0
470,ACEH,KOTA SORONG,0
471,ACEH,MERAUKE,0
472,ACEH,JAYAWIJAYA,0
473,ACEH,JAYAPURA,0
474,ACEH,NABIRE,0
475,ACEH,KEPULAUAN YAPEN,0
476,ACEH,BIAK NUMFOR,0
477,ACEH,PANIAI,0
478,ACEH,PUNCAK JAYA,0
479,ACEH,MIMIKA,0
480,ACEH,BOVEN DIGOEL,0
481,ACEH,MAPPI,0
482,ACEH,ASMAT,0
483,ACEH,YAHUKIMO,0
484,ACEH,KEEROM,0
485,ACEH,SUPIORI,0
486,ACEH,LANNY JAYA,0
487,ACEH,KOTA JAYAPURA,0
488,SUMATERA UTARA,SIMEULUE,0
489,SUMATERA UTARA,ACEH SINGKIL,0
490,SUMATERA UTARA,ACEH SELATAN,0
491,SUMATERA UTARA,ACEH TENGGARA,0
492,SUMATERA UTARA,ACEH TIMUR,0
493,SUMATERA UTARA,ACEH TENGAH,0
494,SUMATERA UTARA,ACEH BARAT,0
495,SUMATERA UTARA,ACEH BESAR,0
496,SUMATERA UTARA,PIDIE,0
497,SUMATERA UTARA,BIREUEN,0
498,SUMATERA UTARA,ACEH UTARA,0
499,SUMATERA UTARA,ACEH BARAT DAYA,0
500,SUMATERA UTARA,GAYO LUES,0
501,SUMATERA UTARA,ACEH TAMIANG,0
502,SUMATERA UTARA,NAGAN RAYA,0
503,SUMATERA UTARA,ACEH JAYA,0
504,SUMATERA UTARA,BENER MERIAH,0
505,SUMATERA UTARA,PIDIE JAYA,0
506,SUMATERA UTARA,KOTA BANDA ACEH,0
507,SUMATERA UTARA,KOTA SABANG,0
508,SUMATERA UTARA,KOTA LANGSA,0
509,SUMATERA UTARA,KOTA LHOKSEUMAWE,0
510,SUMATERA UTARA,KOTA SUBULUSSALAM,0
511,SUMATERA UTARA,NIAS,306
512,SUMATERA UTARA,MANDAILING NATAL,742
513,SUMATERA UTARA,TAPANULI SELATAN,108
514,SUMATERA UTARA,TAPANULI TENGAH,854
515,SUMATERA UTARA,TAPANULI UTARA,692
516,SUMATERA UTARA,TOBA SAMOSIR,618
517,SUMATERA UTARA,LABUHAN BATU,2790
518,SUMATERA UTARA,ASAHAN,1667
519,SUMATERA UTARA,SIMALUNGUN,381
520,SUMATERA UTARA,DAIRI,637
521,SUMATERA UTARA,KARO,919
522,SUMATERA UTARA,DELI SERDANG,3426
523,SUMATERA UTARA,LANGKAT,1167
524,SUMATERA UTARA,HUMBANG HASUNDUTAN,707
525,SUMATERA UTARA,PAKPAK BHARAT,128
526,SUMATERA UTARA,SAMOSIR,395
527,SUMATERA UTARA,SERDANG BEDAGAI,1066
528,SUMATERA UTARA,BATU BARA,130
529,SUMATERA UTARA,PADANG LAWAS UTARA,272
530,SUMATERA UTARA,PADANG LAWAS,348
531,SUMATERA UTARA,LABUHAN BATU SELATAN,728
532,SUMATERA UTARA,LABUHAN BATU UTARA,352
533,SUMATERA UTARA,KOTA SIBOLGA,1558
534,SUMATERA UTARA,KOTA TANJUNG BALAI,578
535,SUMATERA UTARA,KOTA PEMATANG SIANTAR,3767
536,SUMATERA UTARA,KOTA TEBING TINGGI,1819
537,SUMATERA UTARA,KOTA MEDAN,12694
538,SUMATERA UTARA,KOTA BINJAI,1988
539,SUMATERA UTARA,KOTA PADANGSIDIMPUAN,999
540,SUMATERA UTARA,KOTA GUNUNGSITOLI,586
541,SUMATERA UTARA,KEPULAUAN MENTAWAI,0
542,SUMATERA UTARA,PESISIR SELATAN,0
543,SUMATERA UTARA,SOLOK,0
544,SUMATERA UTARA,SIJUNJUNG,0
545,SUMATERA UTARA,TANAH DATAR,0
546,SUMATERA UTARA,PADANG PARIAMAN,0
547,SUMATERA UTARA,AGAM,0
548,SUMATERA UTARA,LIMA PULUH KOTA,0
549,SUMATERA UTARA,PASAMAN,0
550,SUMATERA UTARA,SOLOK SELATAN,0
551,SUMATERA UTARA,DHARMASRAYA,0
552,SUMATERA UTARA,PASAMAN BARAT,0
553,SUMATERA UTARA,KOTA PADANG,0
554,SUMATERA UTARA,KOTA SOLOK,0
555,SUMATERA UTARA,KOTA SAWAH LUNTO,0
556,SUMATERA UTARA,KOTA PADANG PANJANG,0
557,SUMATERA UTARA,KOTA BUKITTINGGI,0
558,SUMATERA UTARA,KOTA PAYAKUMBUH,0
559,SUMATERA UTARA,KOTA PARIAMAN,0
560,SUMATERA UTARA,KUANTAN SINGINGI,0
561,SUMATERA UTARA,INDRAGIRI HULU,0
562,SUMATERA UTARA,INDRAGIRI HILIR,0
563,SUMATERA UTARA,PELALAWAN,0
564,SUMATERA UTARA,SIAK,0
565,SUMATERA UTARA,KAMPAR,0
566,SUMATERA UTARA,ROKAN HULU,0
567,SUMATERA UTARA,BENGKALIS,0
568,SUMATERA UTARA,ROKAN HILIR,0
569,SUMATERA UTARA,KEPULAUAN MERANTI,0
570,SUMATERA UTARA,KOTA PEKANBARU,0
571,SUMATERA UTARA,KOTA DUMAI,0
572,SUMATERA UTARA,MERANGIN,0
573,SUMATERA UTARA,SAROLANGUN,0
574,SUMATERA UTARA,BATANG HARI,0
575,SUMATERA UTARA,MUARO JAMBI,0
576,SUMATERA UTARA,TANJUNG JABUNG TIMUR,0
577,SUMATERA UTARA,TANJUNG JABUNG BARAT,0
578,SUMATERA UTARA,TEBO,0
579,SUMATERA UTARA,BUNGO,0
580,SUMATERA UTARA,KOTA JAMBI,0
581,SUMATERA UTARA,KOTA SUNGAI PENUH,0
582,SUMATERA UTARA,OGAN KOMERING ULU,0
583,SUMATERA UTARA,OGAN KOMERING ILIR,0
584,SUMATERA UTARA,MUARA ENIM,0
585,SUMATERA UTARA,LAHAT,0
586,SUMATERA UTARA,MUSI RAWAS,0
587,SUMATERA UTARA,MUSI BANYUASIN,0
588,SUMATERA UTARA,BANYUASIN,0
589,SUMATERA UTARA,OGAN KOMERING ULU SELATAN,0
590,SUMATERA UTARA,OGAN KOMERING ULU TIMUR,0
591,SUMATERA UTARA,OGAN ILIR,0
592,SUMATERA UTARA,EMPAT LAWANG,0
593,SUMATERA UTARA,PENUKAL ABAB LEMATANG ILIR,0
594,SUMATERA UTARA,MUSI RAWAS UTARA,0
595,SUMATERA UTARA,KOTA PALEMBANG,0
596,SUMATERA UTARA,KOTA PRABUMULIH,0
597,SUMATERA UTARA,KOTA PAGAR ALAM,0
598,SUMATERA UTARA,KOTA LUBUKLINGGAU,0
599,SUMATERA UTARA,BENGKULU SELATAN,0
600,SUMATERA UTARA,REJANG LEBONG,0
601,SUMATERA UTARA,BENGKULU UTARA,0
602,SUMATERA UTARA,KAUR,0
603,SUMATERA UTARA,SELUMA,0
604,SUMATERA UTARA,MUKOMUKO,0
605,SUMATERA UTARA,LEBONG,0
606,SUMATERA UTARA,KEPAHIANG,0
607,SUMATERA UTARA,BENGKULU TENGAH,0
608,SUMATERA UTARA,KOTA BENGKULU,0
609,SUMATERA UTARA,LAMPUNG BARAT,0
610,SUMATERA UTARA,TANGGAMUS,0
611,SUMATERA UTARA,LAMPUNG SELATAN,0
612,SUMATERA UTARA,LAMPUNG TIMUR,0
613,SUMATERA UTARA,LAMPUNG TENGAH,0
614,SUMATERA UTARA,LAMPUNG UTARA,0
615,SUMATERA UTARA,WAY KANAN,0
616,SUMATERA UTARA,TULANGBAWANG,0
617,SUMATERA UTARA,PESAWARAN,0
618,SUMATERA UTARA,PRINGSEWU,0
619,SUMATERA UTARA,MESUJI,0
620,SUMATERA UTARA,TULANG BAWANG BARAT,0
621,SUMATERA UTARA,PESISIR BARAT,0
622,SUMATERA UTARA,KOTA BANDAR LAMPUNG,0
623,SUMATERA UTARA,KOTA METRO,0
624,SUMATERA UTARA,BANGKA,0
625,SUMATERA UTARA,BELITUNG,0
626,SUMATERA UTARA,BANGKA BARAT,0
627,SUMATERA UTARA,BANGKA TENGAH,0
628,SUMATERA UTARA,BANGKA SELATAN,0
629,SUMATERA UTARA,BELITUNG TIMUR,0
630,SUMATERA UTARA,KOTA PANGKAL PINANG,0
631,SUMATERA UTARA,KARIMUN,0
632,SUMATERA UTARA,BINTAN,0
633,SUMATERA UTARA,NATUNA,0
634,SUMATERA UTARA,LINGGA,0
635,SUMATERA UTARA,KEPULAUAN ANAMBAS,0
636,SUMATERA UTARA,KOTA BATAM,0
637,SUMATERA UTARA,KOTA TANJUNG PINANG,0
638,SUMATERA UTARA,KEPULAUAN SERIBU,0
639,SUMATERA UTARA,KOTA JAKARTA SELATAN,0
640,SUMATERA UTARA,KOTA JAKARTA TIMUR,0
641,SUMATERA UTARA,KOTA JAKARTA PUSAT,0
642,SUMATERA UTARA,KOTA JAKARTA BARAT,0
643,SUMATERA UTARA,KOTA JAKARTA UTARA,0
644,SUMATERA UTARA,BOGOR,0
645,SUMATERA UTARA,SUKABUMI,0
646,SUMATERA UTARA,CIANJUR,0
647,SUMATERA UTARA,BANDUNG,0
648,SUMATERA UTARA,GARUT,0
649,SUMATERA UTARA,TASIKMALAYA,0
650,SUMATERA UTARA,CIAMIS,0
651,SUMATERA UTARA,KUNINGAN,0
652,SUMATERA UTARA,CIREBON,0
653,SUMATERA UTARA,MAJALENGKA,0
654,SUMATERA UTARA,SUMEDANG,0
655,SUMATERA UTARA,INDRAMAYU,0
656,SUMATERA UTARA,SUBANG,0
657,SUMATERA UTARA,PURWAKARTA,0
658,SUMATERA UTARA,KARAWANG,0
659,SUMATERA UTARA,BEKASI,0
660,SUMATERA UTARA,BANDUNG BARAT,0
661,SUMATERA UTARA,PANGANDARAN,0
662,SUMATERA UTARA,KOTA BOGOR,0
663,SUMATERA UTARA,KOTA SUKABUMI,0
